station_m,axial_n,shear_n,moment_nm,stress_mpa
-1.2550000099999998,-5.757616605706062e-13,1.3648496607342052e-15,6.321855152027836e-16,1.008021745615393e-15
-1.25499999,2033.9999999999998,1.3648496607342052e-15,5.61926053660783e-16,3.439268571037602
-1.2541494712816987,2033.9999999999998,1.3648496607342052e-15,5.513783672418035e-16,3.439268571037602
-1.2541494512816989,2030.9992992220025,0.010648973487701734,1.0648857764667517e-10,3.4341947185965775
-1.249972135077945,2030.9992992220025,0.010648973487701734,4.448423599219721e-05,3.434197144281914
-1.249972115077945,2025.3160027174924,0.0307768977668698,4.4484650250712714e-05,3.4245873197972028
-1.2422878610432362,2025.3160027174924,0.0307768977668698,0.00028098215091840845,3.42460021582385
-1.2422878410432363,2017.45559342485,0.05851064835130624,0.0002809830437939054,3.4113091349307103
-1.2311668726965934,2017.45559342485,0.05851064835130624,0.0009316781092686229,3.4113446168317028
-1.2311668526965935,2007.7063936933469,0.09272079420197359,0.0009316796215826575,3.3948598006755613
-1.2296700097999997,2007.7063936933469,0.09272079420197359,0.00107046807966124,3.394867368703336
-1.2227868511214952,2007.7063936933469,0.09272079420197359,0.001708680008698087,3.3949021699085087
-1.2227868311214953,2007.7063936933469,0.6681561855352501,0.0017086876161379481,3.3949021703233364
-1.2167134413689762,2007.7063936933469,0.6681561855352501,0.0057664212107672785,3.395123435412466
-1.2167134213689763,1996.2838676053327,0.7079454015290176,0.00576643497158229,3.3758092105107362
-1.2043400095999999,1996.2838676053327,0.7079454015290176,0.014526094072532317,3.3762868679780196
-1.1990633231956598,1996.2838676053327,0.7079454015290176,0.01826169444532826,3.3764905673905523
-1.19906330319566,1983.370787704148,0.7525334676410015,0.018261709050107894,3.354655981235395
-1.1790100093999998,1983.370787704148,0.7525334676410015,0.033352482690458464,3.3554788695045974
-1.1783823461542648,1983.370787704148,0.7525334676410015,0.033824820271076916,3.355504625709247
-1.178382326154265,1969.1334104839805,0.8011857481816829,0.033824835808266486,3.3314307996108883
-1.1548648271312292,1969.1334104839805,0.8011857481816829,0.05266671821671409,3.332458232953481
-1.1548648071312293,1953.7292394280184,0.8531992513116546,0.052666734760556305,3.3064114878498727
-1.1536800092,1953.7292394280184,0.8531992513116546,0.05367760269060521,3.306466609699897
