thickness_mm,aluminio_6061,fibra_vidrio_g10,fibra_carbono_laminada,contrachapado_abedul,acrilico_policarbonato
1.0,0.39225105675557914,0.18040924667078,0.1631863036139049,0.07297913357552219,0.07692676125477266
1.5,0.72061120508899,0.33143294941748686,0.2997923826487212,0.1340712293478338,0.14132348447932203
2.0,1.1094535286378373,0.5102744068386605,0.4615605675286359,0.20641616094548237,0.21758173815187323
2.5,1.5505084424445088,0.7131301630435178,0.6450505029546325,0.2884753547053975,0.3040797232313425
3.0,2.038196278869739,0.9374339441670521,0.8479409068759322,0.3792107017354806,0.3997231768649616
4.0,3.138008454044633,1.44327397336624,1.3054904289112392,0.5838330686041775,0.6154140900381813
5.0,4.385500135758016,2.017036696626959,1.8244783393880553,0.8159315180695248,0.8600673372728435
6.0,5.76488964071192,2.651463595339895,2.3983390611897697,1.0725698347826704,1.1305878758345762
