time_s,altitude_agl_m,altitude_asl_m,airspeed_m_s,speed_m_s,q_pa,aoa_deg,mach,stability_cal,density_kg_m3,pressure_pa,sound_speed_m_s,flutter_speed_m_s,flutter_ratio
0.3931632170077955,3.850381005138388,1403.8503810051384,24.17444172290757,24.17444172290757,312.10894794732195,1.974150189140597e-05,0.07226340801461191,2.9947707882064414,1.0681280215248439,85556.45280167535,334.53226725787323,569.0036294813158,23.537405165478177
0.5263595460744653,7.7461929089759,1407.746192908976,34.6264288952145,34.6264288952145,640.0914220244209,0.18595331869545242,0.10351194001617586,3.0326881390122464,1.0677168225102742,85515.76816975937,334.5162779611083,569.1117642521568,16.435762578185187
0.6595558751411352,13.04879661018208,1413.048796610182,45.36108368730334,45.36108368730334,1097.9064128392397,0.27190241272365123,0.1356108446333423,3.0733833633908225,1.0671573407216208,85460.41799010782,334.4945148713345,569.2589953490266,12.549501666962232
0.792752204207805,19.787237658616732,1419.7872376586167,56.289690546095414,56.289690546095414,1689.533785070808,0.2956515964592045,0.1682967656394704,3.1166472102902745,1.0664466983887357,85390.1229361396,334.46685877901905,569.4461746485852,10.116349354990108
0.925948533274475,27.98716384952968,1427.9871638495297,67.41195322163462,67.41195322163462,2421.20163631741,0.2641334365316069,0.20157075414267345,3.1627274616939336,1.0655824306613078,85304.64617358695,334.4332044197858,569.6740738885876,8.450638895087842
1.0591448623411448,37.67367372050103,1437.673673720501,78.71059258270186,78.71059258270186,3297.6685517755527,0.18149644670255036,0.23538317762379352,3.2115131884277917,1.0645621863564552,85203.76385190102,334.39344878353694,569.9434648381322,7.241000812429253
1.1923411914078146,48.860084850911335,1448.8600848509113,90.03026756432433,90.03026756432433,4309.606545979946,0.06524734924777971,0.2692715140646066,3.2626610505691604,1.0633849104839235,85087.38209496792,334.34753721190225,570.2548077902986,6.334034355533444
1.3255375204744846,61.545330818082675,1461.5453308180827,101.34065946444777,101.34065946444777,5453.594894924294,0.05423505453155309,0.3031469682406623,3.316040029609345,1.0620511125893377,84955.56345478255,334.29547408172266,570.6081788824348,5.6305946882318745
1.4587338495411544,75.72713986983399,1475.727139869834,112.63609998731593,112.63609998731593,6727.613716112296,0.12331315498496834,0.33699443636700094,3.3716847912681245,1.0605614741506972,84808.3891796032,334.2372687167849,571.0036368010672,5.069454969280439
1.5919301786078242,91.40187358658159,1491.4018735865816,123.88516540966909,123.88516540966909,8125.8803933010195,0.11069794912346272,0.3707217192930328,3.4294922438484594,1.0589168618343268,84645.9605309089,334.17293604998935,571.4412188616268,4.6126686514237525
1.7251265076744942,108.55684009877791,1508.556840098778,135.00236261183156,135.00236261183156,9633.335277951748,0.017907021104754357,0.40407465142945204,3.4890862977315167,1.0571191282362695,84468.4778234992,334.10252817165076,571.9207266106107,4.236375686661411
1.858322836741164,127.17358822099186,1527.1735882209919,145.97561940046597,145.97561940046597,11242.254291583844,0.054146969175405235,0.4370185752139555,3.550421504545307,1.055170757134408,84276.20524758633,334.02612080962433,572.4418171669378,3.921489215240216
1.9915191658078337,147.2327772191229,1547.232777219123,156.7984334548232,156.7984334548232,12945.310665024086,0.07160950670137031,0.46953540260827153,3.613468651495658,1.0530743456876315,84069.41966227931,333.94379334267495,573.0041392328511,3.654399642952716
2.1247154948745037,168.71275108620375,1568.7127510862038,167.43402540201998,167.43402540201998,14729.602931784717,-0.0013787690256881332,0.5015162484128476,3.6779942655510345,1.0508327468718344,83848.42459166699,333.8556346519731,573.6072933406043,3.4258705299794108
2.2579118239411735,191.58452214993508,1591.584522149935,177.83638501642162,177.83638501642162,16579.0178591814,0.03596730492208449,0.5328243206769463,3.7437257427962187,1.0484495841709625,83613.60083956136,333.76176370950884,574.2506905634042,3.229095612297659
2.3911081530078437,215.8162392031395,1615.8162392031395,187.99730260981087,187.99730260981087,18483.122916045588,0.008381917262513963,0.5634358340062493,3.810554282287446,1.0459287750107886,83365.35932120119,333.6623112398696,574.9336770260094,3.0582017350498183
2.5243044820745135,241.37529546895848,1641.3752954689585,197.91021634940944,197.91021634940944,20431.72104805525,0.0037242777747802454,0.5933317917157519,3.878424296802144,1.0432743240418267,83104.12019133246,333.55741106867237,575.655587166448,2.9086703950145307
2.6575008111411833,268.2323998064917,1668.2323998064917,207.64318754741922,207.64318754741922,22430.723314314157,0.01777798940441258,0.6227168735445285,3.9476938588746204,1.0404899738082176,82830.27692485852,333.44718341341115,576.4158369706116,2.7759920456767997
2.790697140207853,296.36694778196966,1696.3669477819697,217.22839130401576,217.22839130401576,24480.71994407655,0.00016059850022116952,0.6516883420831986,4.018600159787236,1.0375786081426395,82544.13845469015,333.3317128393614,577.2140879588534,2.6571760923784127
2.9238934692745233,325.7585445037546,1725.7585445037546,226.6542621567765,226.6542621567765,26573.354388470078,0.00011078904112478828,0.6802122548898044,4.09108729527094,1.0345431144767725,82246.01438166181,333.2110830517898,578.0500130887365,2.550360216429109
3.057089798341193,356.36979289731335,1756.3697928973133,235.44266395057952,235.44266395057952,28586.597692292176,0.007864949631373637,0.7068536487910662,4.161662806169783,1.0313881549257986,81936.38862858151,333.0854475367829,578.9228047178407,2.458869582104963
3.190286127407863,387.9681527137918,1787.9681527137918,241.29169804334242,241.29169804334242,29929.97563384661,-1.1367145742807554e-05,0.724695970244256,4.21259765679357,1.0281384464236263,81617.71057301479,332.95576069233033,579.8260684710433,2.403008778059538
3.3234824564745327,420.11165332533324,1820.1116533253332,243.72995425338917,243.72995425338917,30439.946435408772,0.010678197559631902,0.7323091904756884,4.238968046834462,1.0248399948249385,81294.50787932557,332.8238364662571,580.7473370292254,2.3827491323674668
3.370024253967524,431.39303160146096,1831.393031601461,243.9790642937734,243.9790642937734,30467.799147462818,0.009260151304032065,0.7331596593502311,4.243647728045172,1.0236840977293737,81181.30672619393,332.77753512789,581.0712520192432,2.381643907444368
3.407107438695674,440.38687827356466,1840.3868782735647,244.03427867931788,244.03427867931788,30454.17108085225,0.006161055491194063,0.7334069310927324,4.246339459601831,1.0227632387306316,81091.14626317787,332.74062233870825,581.329701533158,2.382164115136773
3.4566787855412024,452.4094769522151,1852.409476952215,243.99446975275072,243.99446975275072,30407.621390748616,0.0067522206812208095,0.7333960498943826,4.249046652591505,1.021533183689663,80970.74390303329,332.69127886348326,581.6754836901308,2.3839699493171533
3.5898751146078722,484.6797827987616,1884.6797827987616,243.45117802966485,243.45117802966485,30174.669179044544,0.01851020574460329,0.7320544607253003,4.252954710268259,1.0182367144530036,80648.24910155604,332.55883419992904,582.6052922157994,2.3931093574121385
