time_s,altitude_agl_m,altitude_asl_m,airspeed_m_s,speed_m_s,q_pa,aoa_deg,mach,stability_cal,density_kg_m3,pressure_pa,stress_mpa,max_moment_nm,max_axial_n,flutter_speed_m_s,flutter_ratio
0.39249106685538004,3.8495728276516274,1403.8495728276516,24.226142699846577,24.226142699846577,313.4453920601874,1.8235429485556573e-05,0.07241795435226651,1.6190741669122102,1.0681281068402793,85556.46124328127,3.2063410354416364,1.3776727914835711e-06,1896.2455334276906,726.0836057546062,29.971077721721027
0.3945382198955177,3.89930141530931,1403.8993014153093,24.38408794150619,24.38408794150619,317.5442441499107,0.0041246467584523175,0.07289013635753652,1.6196537058664366,1.0681228572410544,85555.94181765564,3.208071789893714,0.00031439440434323095,1897.2691099477593,726.0853668604431,29.77701559321038
0.39659537293565533,3.949597194226044,1403.949597194226,24.542915368850874,24.542915368850874,321.6928097553326,0.008195550901109686,0.07336495652470416,1.6202365567344124,1.0681175477872498,85555.41647026654,3.2098109987916383,0.0006328861787851486,1898.2976864678278,726.0871480593469,29.584388698209615
0.4007096790159306,4.050839554195591,1404.0508395541956,24.86079224088704,24.86079224088704,330.0765240776357,0.016180401498103302,0.0743152628769491,1.621403657829177,1.068106860241937,85554.3589858969,3.2132894165874872,0.0012821989762481715,1900.3548395079645,726.0907335243543,29.20625885486452
0.4048239850962058,4.1533844270716145,1404.1533844270716,25.17911291295696,25.17911291295696,338.57988885868184,0.023961631576601555,0.07526689942610652,1.622572692960128,1.0680960352853113,85553.28790776516,3.2167678343833406,0.0019479343104134635,1902.4119925481039,726.0943651438287,28.837170223347567
0.40893829117648106,4.257233630220071,1404.25723363022,25.497877414858543,25.497877414858543,347.20335058864697,0.03154628834203522,0.07621986631359166,1.6237436697500838,1.0680850727288618,85552.2032173138,3.2202462521791895,0.0026301122826556302,1904.4691455882407,726.0980429831476,28.476803428352188
0.44189546886722225,5.136389757873076,1405.136389757873,28.067325700507507,28.067325700507507,420.6686837326569,0.08595950170989902,0.08390152845009914,1.6332063046397318,1.0679922706237863,85543.02101250131,3.248109719588696,0.00868998488130671,1920.947734433612,726.1291795571414,25.870978493117057
0.47485264655796344,6.100296515805894,1406.100296515806,30.66529768487944,30.66529768487944,502.10102671651794,0.13092573662690862,0.09166871829806754,1.642941022046562,1.0678905297977208,85532.95458534086,3.2759731869981996,0.015811467445968178,1937.4263232789815,726.1633199426639,23.68029579901072
0.5,6.893360231713359,1406.8933602317134,32.66617037999405,32.66617037999405,569.7170291368892,0.16013570613986103,0.09765093878009991,1.6505035222016662,1.0678068273375234,85524.67307238089,3.297233880788261,0.021957943198531966,1949.9999999999995,726.1914110422816,22.2306870562038
0.5078098242487046,7.149865162968354,1407.1498651629684,33.29033168522989,33.29033168522989,591.6814198791657,0.16843266738353158,0.09951709472429514,1.6528521509441818,1.0677797561134565,85521.99468002187,3.299452412724394,0.023991182611286428,1951.3120504737817,726.200497041048,21.81415625135527
0.5260244490078178,7.766987041991342,1407.7669870419913,34.750064055131766,34.750064055131766,644.6691932376698,0.18650894343357918,0.10388156037144464,1.6584540202157854,1.06771462804941,85515.5510562155,3.304626629895731,0.02895917182357283,1954.3721074333127,726.2223576103983,20.898446588709305
0.5407670019394457,8.285873004226232,1408.2858730042262,35.93461739801269,35.93461739801269,689.3328479872697,0.19993430783012206,0.10742333842907005,1.6629880611496428,1.0676598697801398,85510.13346621339,3.3088145377739884,0.033208007064413333,1956.8488563258268,726.2407390744405,20.210059036682665
0.5737241796301868,9.508816563383789,1409.5088165633838,38.58982659394348,38.58982659394348,794.869953770515,0.22650480936646364,0.11536258081679107,1.6732984244038398,1.06753082084508,85497.36607171882,3.3181766628235825,0.04342050414010721,1962.3856621778714,726.2840643841221,18.820609691418245
0.606681357320928,10.81904604438023,1410.8190460443802,41.25702502135432,41.25702502135432,908.4269268295479,0.2488846456922506,0.12333803536717464,1.683791638614142,1.0673925749965572,85483.68917767936,3.327538787873177,0.05457695771995137,1967.9224680299162,726.3304861920842,17.60501359019806
0.6396385350116691,12.216957583670364,1412.2169575836704,43.936203340649634,43.936203340649634,1030.0996085894506,0.26761317508583476,0.13134970216858596,1.6944797899802433,1.0672450932761894,85469.09901144939,3.3369009129227707,0.06660580843428314,1973.4592738819608,726.3800194124267,16.532607830963453
0.6595578311602555,13.104532464637487,1413.1045324646375,45.56129544407507,45.56129544407507,1107.61346056409,0.2773247965588103,0.1362094879750771,1.701066858357291,1.0671514612268287,85459.83636025403,3.3425593750396683,0.07426060384164081,1976.8057156349228,726.411472082419,15.943608824162258
0.685666234822146,14.316751138495192,1414.3167511384952,47.697948150563015,47.697948150563015,1213.7896239780957,0.2883502120965315,0.14259931960907174,1.7097005891303856,1.0670235923902343,85447.18709965005,3.349975973093711,0.0846830496758725,1981.1919274501204,726.4544322792433,15.230307810854299
0.7316939346326228,16.58940041407095,1416.589400414071,51.48300299128421,51.48300299128421,1413.7551466219188,0.30341681294428763,0.1539195334305255,1.7252888905055461,1.0667838985689984,85423.47663482155,3.363051033264652,0.10393566928206026,1988.9245810182802,726.5349835089715,14.112132962251055
0.7777216344430996,19.035971842297613,1419.0359718422976,55.29133748707466,55.29133748707466,1630.2552432549085,0.3132556648728201,0.16531033291829045,1.7412512515875331,1.0665259090305599,85397.9577311454,3.3761260934355946,0.1239126375774945,1996.6572345864408,726.621713945175,13.141691754427823
0.7930912133126933,19.891850407507036,1419.891850407507,56.568195529029154,56.568195529029154,1706.2761446828658,0.31542068699775505,0.16912966609321803,1.7467085538652327,1.0664356687827372,85389.03199864038,3.3804921201836042,0.13064864605337345,1999.2393238365319,726.6520582754383,12.845593738314344
0.8237493342535764,21.657529759843783,1421.6575297598438,59.122918700494196,59.122918700494196,1863.5480063743885,0.3180977723528999,0.17677170119098107,1.7575943845480546,1.0662495220083068,85370.6206276025,3.3892011536065376,0.14403827653694157,2004.389888154602,726.7146646281345,12.291589803093737
0.8697770340640533,24.455135988674556,1424.4551359886746,62.97771257698498,62.97771257698498,2113.8905264200507,0.31806503455158575,0.18830361952529173,1.7743251643386457,1.0659546368025554,85341.45569360473,3.4022762137774762,0.16360313604369003,2012.1225417227606,726.813876787405,11.540810979740426
0.926624595465131,28.154948246351978,1428.154948246352,67.77065164710123,67.77065164710123,2446.9955233174355,0.31135599610062914,0.20264372764763322,1.7955516724062268,1.0655647520338007,85302.89791047535,3.418424865327543,0.18572230777285953,2021.6729320381423,726.9451150269696,10.726547515174488
0.9267713884812994,28.16485341142834,1428.1648534114283,67.7830741762428,67.7830741762428,2447.8902814008466,0.31132908849854024,0.20268089738464898,1.7956064839595312,1.0655637083818337,85302.79470254671,3.418466564728706,0.18577508330705575,2021.6975932648581,726.9454664263502,10.724586856834184
0.9837657428985455,32.148132616559224,1432.1481326165592,72.62390591428424,72.62390591428424,2808.908334702613,0.29719381032413583,0.217166279020079,1.817477235500606,1.0651440774759475,85261.2988223757,3.4346569156799354,0.20390123439147861,2031.2726448069554,727.0867993030726,10.011673017989844
